car_park_no,address,x_coord,y_coord,car_park_type,type_of_parking_system,short_term_parking,free_parking,night_parking,car_park_decks,gantry_height,car_park_basement,longitude,latitude,nearest_charger_distance_m,nearest_charger_idx,gap_category,index_right,area_name,priority_score,area_gap_rate,road_distance_m,nearest_charger_road_idx,road_path_coords
HG2A,BLK 473 UPPER SERANGOON CRESCENT,35501.0297,39817.8795,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,2,2.15,N,103.90072077615454,1.3763723182473238,0.00333290458847077,1146,Excellent,17,Zone 18,2.86,0.0,,,
HG2B,BLK 933 HOUGANG AVENUE 9,33468.3697,39724.6803,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,NO,YES,14,2.15,N,103.88245583850758,1.375529907263565,0.004349717446752676,2365,Excellent,17,Zone 18,20.0,0.0,,,
HG2C,BLK 364 / 365 UPPER SERANGOON RD,35112.2965,39125.1711,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,NO,YES,14,2.15,N,103.8972275612912,1.3701078117066359,0.00448887048363982,2253,Excellent,17,Zone 18,20.0,0.0,,,
HG2D,"BLK 581,582 AND 582A BUANGKOK GREEN",33994.2969,40153.4168,SURFACE CAR PARK,ELECTRONIC PARKING,NO,NO,NO,0,0.0,N,103.88718176076142,1.379407142485768,0.0064195110495455015,2222,Excellent,17,Zone 18,0.0,0.0,,,
HG20,BLK 128-137 LORONG AH SOO,33910.4258,36933.0703,SURFACE CAR PARK,ELECTRONIC PARKING,7AM-10.30PM,SUN & PH FR 7AM-10.30PM,NO,0,4.5,N,103.8864274785372,1.3502835072364743,0.0025141393947244587,1293,Excellent,17,Zone 18,0.0,0.0,,,
HG22,BLK 154-157 HOUGANG STREET 11,33243.2373,37175.2101,SURFACE CAR PARK,ELECTRONIC PARKING,7AM-10.30PM,SUN & PH FR 7AM-10.30PM,NO,0,4.5,N,103.88043241313824,1.3524734570237993,0.004988294823477521,285,Excellent,17,Zone 18,0.0,0.0,,,
HG23,BLK 239-246 HOUGANG STREET 22,34480.0781,37732.4375,SURFACE CAR PARK,ELECTRONIC PARKING,7AM-10.30PM,SUN & PH FR 7AM-10.30PM,NO,0,4.5,N,103.89154633409036,1.3575125780004997,0.00450355170139153,2752,Excellent,17,Zone 18,0.0,0.0,,,
HG24,BLK 247-254 HOUGANG AVENUE 3,34496.2494,37985.1602,SURFACE CAR PARK,ELECTRONIC PARKING,7AM-10.30PM,SUN & PH FR 7AM-10.30PM,NO,0,5.0,N,103.89169169862795,1.3597981073399827,0.0008288501064904537,1221,Excellent,17,Zone 18,0.0,0.0,,,
HG26,BLK 335-341 HOUGANG AVENUE 7,35293.1914,39057.5898,SURFACE CAR PARK,COUPON PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,0.0,N,103.89885301179292,1.3694965867905133,0.0019655574247211026,1215,Excellent,17,Zone 18,0.0,0.0,,,
HG29,BLK 351-357 HOUGANG AVENUE 7,35318.5017,39372.252,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,0.0,N,103.89908052009024,1.3723422711738544,0.0039001369634885956,591,Excellent,17,Zone 18,0.0,0.0,,,
