car_park_no,address,x_coord,y_coord,longitude,latitude,nearest_charger_distance_m,high_gap_area
A7,BLK 212/213 ANG MO KIO STREET 23,28888.4313,38935.4059,103.84130175438848,1.3683924870216928,69.34271888701518,False
CCKC,BLK 309 CHOA CHU KANG AVENUE 4,18254.4236,40780.2921,103.74574719528933,1.3850753626994727,56.42403532400138,False
A70,BLK 629/626 ANG MO KIO AVENUE 4,28755.4887,40287.5326,103.84010720676336,1.38062064114195,55.47094110199767,False
A71,BLK 628/632 ANG MO KIO STREET 61,28826.1219,40219.911,103.84074189671752,1.3800090936953147,0.0007889885456521703,False
A72,BLK 633/640 ANG MO KIO STREET 61,29136.44,40303.05,103.84353033817357,1.3807609626573387,0.005927540924513117,False
A73,BLK 641/645 ANG MO KIO STREET 61,28835.3369,40091.5441,103.84082469669583,1.378848189137787,0.0012602542346353345,False
A74,BLK 646/649 ANG MO KIO STREET 61,29166.97,40069.8164,103.84380466372642,1.378651680283736,0.004582706512208392,False
A75,BLK 177/182 ANG MO KIO AVENUE 4,28597.1669,39798.961,103.83868455774677,1.3762021780623381,0.005284574163435579,False
A76,BLK 613A ANG MO KIO AVENUE 4,28613.8871,39995.2242,103.8388348049752,1.377977111891701,0.0014308465178099574,False
A77,BLK 150/156 ANG MO KIO AVENUE 5,28741.1744,39815.655,103.83997857029854,1.376353149352738,42.2081484338901,False
A78,BLK 157/163 ANG MO KIO AVENUE 4,28564.0295,39632.2729,103.83838679093324,1.3746947111453929,0.0015947953172013745,False
A8,BLK 209/210 ANG MO KIO STREET 22,29111.67,38975.61,103.84330771146671,1.3687560709932358,142.18362241872651,False
A81,BLK 170/172 ANG MO KIO STREET 13,28351.6931,39594.7701,103.83647879468057,1.3743555525255606,0.005302639305816038,False
A82,BLK 173/176 ANG MO KIO AVENUE 4,28342.7741,39740.6593,103.83639865272241,1.37567492239482,0.0058067949838923,False
A85,BLK 340 ANG MO KIO STREET 32,29824.1,38572.16,103.84970936855954,1.3651073779477731,52.351262038703844,False
A87,BLK 462/463 ANG MO KIO STREET 44,30733.8638,38762.2439,103.8578842373726,1.36682635874641,0.0061787928434751315,False
A88,BLK 348 ANG MO KIO AVENUE 3,29552.24,38701.9,103.84726652678953,1.3662807156719192,149.7891478206065,False
A89,BLK 101/102 ANG MO KIO STREET 11,28673.21,39163.93,103.83936784590809,1.3704591830451702,0.005432220406603463,False
A9,BLK 202/203 ANG MO KIO STREET 22,29232.3606,38900.2315,103.84439219780549,1.368074369978137,0.003341317820824606,False
A90,BLK 625/627 ANG MO KIO STREET 61,28882.3578,40440.1317,103.84124722457109,1.382000689215116,87.15202459060916,False
A94,BLK 104C ANG MO KIO STREET 11,28556.1477,39318.8058,103.83831596140111,1.3718598268833164,0.005221234766248757,False
A95,BLK 323A ANG MO KIO AVENUE 3,29612.0323,38838.7824,103.84780380928048,1.367518628007778,0.0032750888416008895,False
A98,BLK 259 ANG MO KIO AVENUE 2,27837.0334,39020.7488,103.83185420964756,1.3691643105963722,298.7230897655712,False
A99,BLK 181 ANG MO KIO AVENUE 5,28433.4999,39885.5496,103.8372138919684,1.3769852572551458,171.29907839106028,False
BA1,BLK 106 BIDADARI PARK DRIVE,32174.2918,35098.8104,103.87082697082691,1.333695408000663,0.0033577821656206055,False
BA10,BLK 213 BIDADARI PARK DRIVE,32401.338,36121.0002,103.87286725808723,1.3429396955710726,9.934992700214467,False
BA11,BLK 119 ALKAFF CRESCENT,32586.6476,35427.9255,103.87453227172983,1.3366717479010495,144.09203693032356,False
BA12,BLK 227 BARTLEY WALK,32790.8835,35819.1717,103.87636751125338,1.340210007052488,327.7812441226087,False
BA15,BLK 233 UPPER ALJUNIED ROAD,32640.9837,35584.8137,103.87502053700096,1.3380905804644379,236.06660974554396,False
BA2,BLK 117 ALKAFF CRESCENT,32444.5217,35453.6678,103.87325519193966,1.3369045733012843,0.003095667414477165,False
BA3,BLK 101 BIDADARI PARK DRIVE,32229.3617,35383.6726,103.87132184474288,1.336271592542055,0.005034979945752126,False
BA4,BLK 113 ALKAFF CRESCENT,32410.3926,35271.7364,103.87294849581703,1.3352592556272487,0.004947212058243293,False
BA5,BLK 109 BIDADARI PARK DRIVE,32375.4954,35170.051,103.8726349098329,1.3343396542004196,0.005199597741947161,False
BA6,BLK 201 WOODLEIGH LINK,32325.472,35823.9717,103.87218551400757,1.3402534868866134,0.00212984930800315,False
BA7,BLK 206 WOODLEIGH LINK,32320.0357,35997.2684,103.8721366903117,1.3418207211438435,0.002581615508648383,False
BA8,BLK 207 WOODLEIGH LINK,32246.0659,35990.7456,103.87147202648787,1.341761741787754,0.005491778752447043,False
BA9,BLK 212 BIDADARI PARK DRIVE,32740.6501,36141.8658,103.87591618487676,1.3431283450586189,0.0052757025744442415,False
BBB,BLK 231 BRAS BASAH BASEMENT CAR PARK,30264.1776,30994.7597,103.85366320640033,1.2965800277256154,0.0031584794736092873,False
BBM1,BLK 188A BUKIT BATOK WEST AVENUE 6,18213.6562,36507.8169,103.74538227425023,1.3464366536863857,0.0058819543485660545,False
BBM2,BLK 628A BUKIT BATOK CENTRAL,18714.471,36997.6927,103.74988224837854,1.3508670707092796,0.006277566993897796,False
BBM3,BLK 289H BUKIT BATOK STREET 25,19831.2917,36294.3127,103.75991777083932,1.3445062832256525,0.003734162140583107,False
BBM4,BLK 288H BUKIT BATOK STREET 25,19860.3631,36409.798,103.76017896379149,1.3455506982843115,0.0040236533831478575,False
BBM5,BLK 290H BUKIT BATOK STREET 24,19610.472,36154.6192,103.75793361152391,1.3432428850770304,0.0020928592917349763,False
BBM6,BLK 291F BUKIT BATOK STREET 24,19289.8168,36112.2533,103.75505234517985,1.3428596521147609,0.007307657476833549,False
BBM7,BLK 154A BUKIT BATOK WEST AVENUE 8,18025.9428,36609.4062,103.74369552195999,1.3473553282589283,0.003972510331691565,False
BBM8,BLK 622A BUKIT BATOK CENTRAL,18561.8095,36898.4253,103.74851052070362,1.349969284844801,10.048348665089696,False
BBM9,BLK 395A BUKIT BATOK WEST AVENUE 5,18924.8161,38652.2819,103.75177182867142,1.3658306352822938,0.005046400758797716,False
BE10,BLKS 168-180 BISHAN STREET 13,30223.1994,36651.8815,103.8532954079852,1.3477410368330722,0.004183446627115908,False
BE11,BLK 181-186 BISHAN STREET 13,30194.9243,36877.2792,103.85304135503775,1.3497794554538258,0.00702548934084253,False
BE12,BLK 187-197 BISHAN STREET 13,29963.6285,36903.1662,103.85096301847568,1.3500135843193608,133.52613622888617,False
BE13,BLK 135A BISHAN STREET 12,30026.4687,36336.1338,103.85152763920874,1.3448855409177118,0.006290463789337033,False
BE14,BLK 167A BISHAN STREET 13,30460.9446,36576.481,103.85543169019624,1.34705912300086,0.002775340055759154,False
BE15,BLK 152A BISHAN STREET 11,30394.9029,36366.7901,103.85483824803825,1.345162758491224,0.007047102749111866,False
BE17,BISHAN PARK II,29598.0859,38339.9922,103.84767846445094,1.3630077482977778,175.4640069386505,False
BE18,BLK 441-455 SIN MING AVENUE/BRIGHT HILL DRIVE,27751.5586,37825.0781,103.83108616866849,1.3583510906519656,83.5501693867686,False
BE19,BLK 503/504 BISHAN STREET 11,29656.3321,36775.0947,103.84820175969944,1.3488553698228036,0.005588492898579237,False
BE20,BLK 505 BISHAN STREET 11,29707.8648,36779.0905,103.84866481348304,1.34889150352476,0.0015469133680911966,False
BE21,BLK 506/509 BISHAN STREET 11,29749.6768,36749.5862,103.84904051876208,1.3486246747246529,51.15165149169051,False
BE22,BLK 511/513 BISHAN STREET 13,29818.0559,36839.3645,103.84965495311533,1.349436593646741,74.15742088852697,False
BE23,BLK 514 BISHAN STREET 13,29830.0702,36912.2681,103.8497629135689,1.3500959071206409,0.0017009401842428315,False
BE24,BLK 201/206 BISHAN STREET 23,29576.3203,37491.2812,103.84748284110552,1.3553323098292838,93.79501343301115,False
BE25,BLK 207A BISHAN STREET 23,29668.2541,37471.6058,103.84830892492698,1.3551543675245774,0.004544236435546158,False
BE26,BLK 207/212/216/217 BISHAN STREET 23,29684.6992,37553.5273,103.84845669941872,1.35589523545262,0.0039357697314183785,False
BE27,BLK 212A BISHAN STREET 23,29704.1126,37637.6725,103.84863114624696,1.3566562135466202,0.005349107824011932,False
BE28,"BLK 213-215,218-227 BISHAN STREET 23",29639.4805,37778.0547,103.84805039220309,1.35792578374441,154.9658763581869,False
BE29,BLK 228-231 BISHAN STREET 23,29400.2617,37725.7422,103.84590085114523,1.3574527003474106,0.005423016875735903,False
BE3,BLK 401-408 SIN MING AVENUE,28121.0801,38268.7852,103.83440656538825,1.36236382033242,0.004455762001118923,False
BE3R,BLK 410A SIN MING AVENUE,28240.0745,38359.6695,103.83547581122498,1.3631857448141926,0.005128046367863324,False
BE30,BLK 231A BISHAN STREET 23,29460.8559,37726.9889,103.84644532993362,1.3574639721486685,60.444674065270995,False
BE31,BLK 232-237 BISHAN STREET 22,29421.8945,37882.1133,103.84609524349491,1.3588668638092543,72.42474792859554,False
BE32,BLK 237A BISHAN STREET 22,29486.1335,37915.7452,103.84667247515071,1.3591710155830503,0.0032557615845131478,False
BE33,BLK 238-245 BISHAN STREET 22,29279.9809,38026.2842,103.84482006190818,1.3601707004676906,0.004228511435875115,False
BE34,BLK 246A BISHAN STREET 22,29146.6066,38113.6749,103.8436216081292,1.3609610362378035,78.47126270134878,False
BE35,BLK 246-256 BISHAN STREET 22,29086.8281,38164.5,103.84308446006825,1.3614206825630568,0.004836584154139056,False
BE36,BLK 278-281 BISHAN STREET 24,29248.3008,37730.4375,103.84453538273506,1.3574951697204816,0.00386899463645729,False
BE37,BLK 282 BISHAN STREET 22,29235.553,37787.1371,103.84442083770382,1.3580079412271258,0.006201368948509182,False
BE38,BLK 283/284 BISHAN STREET 22,29251.7617,37885.625,103.84456648767798,1.3588986300125845,100.18479343906444,False
BE39,BLK 263A BISHAN STREET 22,28962.9515,37918.5499,103.84197133762791,1.359196401814309,0.004181550729697889,False
BE4,BLK 101-116 BISHAN STREET 12,29675.9231,36514.1566,103.84837778261435,1.3464955373934115,0.004577357742578916,False
BE40,BLK 268A BISHAN STREET 24,29037.3835,37710.0917,103.84264015136279,1.357311177642308,0.005941813971538262,False
BE42,BLK 290A BISHAN STREET 24,29249.7223,37516.6532,103.84454814694604,1.3555617806229023,0.0056374481165242015,False
BE44,BLK 448A BRIGHT HILL DRIVE,27812.0967,37767.5494,103.8316301438792,1.3578308220309556,0.005450028735761536,False
BE45,BLK 275 BISHAN STREET 24,29152.4171,37599.2039,103.843673799586,1.3563083436627226,0.004846780065771096,False
BE46,BLK 157B BISHAN STREET 11,30607.2022,36227.3788,103.8567458751371,1.3439019546557427,169.56527538251225,False
BE5,BLK 117-134 BISHAN STREET 12,29963.414,36478.9779,103.85096106346887,1.346177376327494,0.004831894214963945,False
BE6,BLK 135/138 BISHAN STREET 12,30066.0547,36320.9492,103.85188334257242,1.3447482141025904,0.004978067635870118,False
BE7,BLK 139-144 BISHAN STREET 12,30192.8737,36349.311,103.85302289077154,1.3450046991490203,0.0010287047603488551,False
BE8,"BLK 145-150A, 151 BISHAN STREET 11",30447.9395,36286.4727,103.85531480784495,1.3444363922391018,0.001224902568709421,False
BE9,BLK 153-167 BISHAN STREET 13,30544.5318,36588.7709,103.85618277394822,1.3471702615089867,0.0051591163060025706,False
BH1,BLK 1 THOMSON ROAD,29017.3398,34136.332,103.84245992582508,1.3249913646328706,0.004860949695540358,False
BH2,BLK 2 BALESTIER ROAD,29050.8796,34252.9453,103.84276130300171,1.3260459729073217,95.09239751503617,False
BJAL,BLK 517 - 519 JELAPANG ROAD,20505.161,41097.6794,103.76597168318806,1.3879463629794184,173.80451155778908,False
BJBL,BLK 533 - 534 BUKIT PANJANG RING ROAD,20272.3997,40658.5045,103.76388026052355,1.3839745646274244,116.78220958683197,False
BJMP,BLK 259B BANGKIT ROAD,21344.6326,39972.0102,103.77351523338442,1.3777664235348246,135.48163123909333,False
BJ1,BLK 130-140 CASHEW ROAD,20878.08,39550.76,103.769323020166,1.3739566801241183,0.0031429237322804,False
BJ10,BLK 234-241 BUKIT PANJANG RING ROAD,21026.3461,40101.7077,103.77065516676869,1.3789392866308572,0.003975990599558613,False
BJ11,BLK 242-245 BUKIT PANJANG RING ROAD,21162.6537,40303.4372,103.77187994356325,1.3807636871101439,0.005042754431811313,False
BJ12,BLK 246-255 BANGKIT ROAD,21452.9618,40246.9897,103.77448858908413,1.3802532628105817,0.004302175891095998,False
BJ13,BLK 270-277 BANGKIT ROAD,21485.25,39887.66,103.7747788017754,1.3770036224850966,0.0025036137324973566,False
BJ14,BLK 257 BANGKIT ROAD,21346.1751,40106.9685,103.77352906342188,1.3789869377958193,0.005838308227616406,False
BJ15,BLK 259A BANGKIT ROAD,21374.3071,39941.9395,103.77378188713287,1.3774944817505004,123.34493399510637,False
BJ16,BLK 259A BANGKIT ROAD,21356.3257,39943.2707,103.77362031087529,1.3775065165718812,140.18654596016694,False
BJ17,BLK 401A FAJAR ROAD,20836.1138,40357.2456,103.76894572813356,1.3812502325627383,97.68421715434744,False
BJ18,BLK 401-408 FAJAR ROAD,20743.2768,40326.2581,103.76811152657707,1.3809699699980773,0.0044489486638803625,False
BJ19,BLK 409-419 FAJAR ROAD,20773.5976,40665.0357,103.76838389812862,1.3840337588241158,0.004575241089886534,False
BJ2,BLK 141-151 GANGSA ROAD/PETIR ROAD,20581.8743,39791.6392,103.76666134027609,1.3761350307538107,0.005624930270465993,False
BJ20,BLK 420-426 FAJAR ROAD,20929.1589,40888.8561,103.7697816793337,1.3860579471811627,0.0057174781551887705,False
BJ21,BLK 427-435 BUKIT PANJANG RING ROAD,21028.24,40876.34,103.77067200118962,1.385944779998901,0.0022240454683236533,False
BJ22,BLK 256/257/260 BANGKIT ROAD,21343.2842,40030.3147,103.77350310387159,1.3782937079787805,76.99840275815204,False
BJ23,BLK 258 BUKIT PANJANG RING ROAD,21281.85,39957.43,103.77295108931864,1.3776345511753285,163.24714154093687,False
BJ24,BLK 436-441 FAJAR ROAD,21005.5592,40580.2986,103.77046826752341,1.383267483822887,0.004027370071763698,False
BJ25,BLK 453A FAJAR ROAD,21145.4428,40760.7142,103.77172518427912,1.384899130104688,78.93755318543295,False
BJ26,BLK 449A BUKIT PANJANG RING ROAD,21254.4996,40638.8302,103.77270516995488,1.3837968809199812,0.0039506596633454225,False
BJ27,BLK 442A FAJAR ROAD,21059.217,40510.9727,103.77095043939005,1.3826405383885652,0.006105259920833813,False
BJ28,BLK 170A LOMPANG ROAD,20457.7599,40100.1252,103.76554600407248,1.378924834192695,0.0038222144338615704,False
BJ29,BLK 505A JELAPANG ROAD,20695.6095,40765.0345,103.76768309160978,1.3849380921344543,0.001276560534791383,False
BJ3,BLK 101/129 GANGSA ROAD/PENDING ROAD,20884.1354,39921.5746,103.76937734296405,1.3773101941380146,0.0048131936773174065,False
BJ30,BLK 510A JELAPANG ROAD,20839.8705,40996.2639,103.76897932907691,1.3870292824106292,0.0037721271586788965,False
BJ31,BLK 513A JELAPANG ROAD,20672.7922,41096.8488,103.76747797804018,1.3879388940244703,123.85628580247905,False
BJ32,BLK 518A JELAPANG ROAD,20612.4337,40944.82,103.7669356490397,1.3865639857228267,0.005669405499193681,False
BJ33,BLK 234A BUKIT PANJANG RING ROAD,21177.2481,40121.6311,103.77201112714418,1.3791195021651272,0.003022573806384207,False
BJ34,BLK 517A JELAPANG ROAD,20565.9376,41081.058,103.76651781167334,1.3877960606883657,144.40757123276993,False
BJ35,BLK 521A JELAPANG ROAD,20498.7021,40997.6232,103.76591367064563,1.3870414895407563,125.20563172401147,False
BJ36,BLK 525A JELAPANG ROAD,20434.7146,40912.3617,103.76533871621282,1.386270399087047,118.00615634231238,False
BJ37,BLK 529A JELAPANG ROAD,20361.9478,40819.6691,103.7646848754348,1.3854321020503517,0.002736219795250686,False
